website	MSA lines	MSA percent	EGY lines	EGY percent	GLF lines	GLF percent	LEV lines	LEV percent	Country of origin
www.al-amthal.com.sa	0	0%	0	0%	37	100.00000%	0	0%	
www.al-anik.741.com	0	0%	0	0%	1	50.00000%	1	50.00000%	
www.al-ansar.com	72	50.70400%	7	4.92900%	58	40.84500%	5	3.52100%	
www.al-araby.com	0	0%	1	33.33300%	1	33.33300%	1	33.33300%	
www.al-ayyam.com	5584	25.89000%	467	2.16500%	14836	68.78700%	681	3.15700%	Palestine 
www.al-ayyam.info	1	4.00000%	0	0%	23	92.00000%	1	4.00000%	
www.al-bab.com	3	15.78900%	0	0%	16	84.21000%	0	0%	
www.al-bayader.com	26	63.41400%	1	2.43900%	9	21.95100%	5	12.19500%	
www.al-binaa.com	1500	64.73800%	42	1.81200%	702	30.29700%	73	3.15000%	Lebanon 
www.al-fadjr.com	60	51.28200%	13	11.11100%	34	29.05900%	10	8.54700%	
www.al-fanoos.com	3	20.00000%	2	13.33300%	8	53.33300%	2	13.33300%	
www.al-inshaa.com	78	30.46800%	8	3.12500%	164	64.06200%	6	2.34300%	Lebanon 
www.al-islah.net	20	1.86000%	1	.09300%	1051	97.76700%	3	.27900%	
www.al-jazirah.com	59	52.67800%	2	1.78500%	42	37.50000%	9	8.03500%	
www.al-jazirah.com.sa	2573	55.35700%	126	2.71000%	1776	38.20900%	173	3.72200%	
www.al-liwa.com	7280	8.07100%	32	.03500%	82081	91.00400%	801	.88800%	Jordan 
www.al-madina.com	42	21.98900%	20	10.47100%	116	60.73200%	13	6.80600%	Saudi Arabia 
www.al-majed.net	0	0%	0	0%	0	0%	1	100.00000%	
www.al-mishkat.com	16	42.10500%	6	15.78900%	16	42.10500%	0	0%	
www.al-nadi.com.sa	46	29.67700%	8	5.16100%	90	58.06400%	11	7.09600%	Saudi Arabia 
www.al-saddclub.net	1	1.36900%	1	1.36900%	70	95.89000%	1	1.36900%	
www.al-sawani.com	1	50.00000%	0	0%	1	50.00000%	0	0%	
